,title,desc,date,quarter,cluster
0,"['release', 'video', 'fatal', 'eve']","['faletogo', 'died', 'gunshot', 'wound', 'head', 'medical', 'examiner', 'office', 'force', 'investigation', 'team', 'investigating']",2019-01-01 00:00:00,Q1,5
1,"['release', 'body', 'cam', 'footage', 'fatal', 'aurora', 'ave', 'north']","['released', 'body', 'cam', 'footage', 'involving', 'car', 'across', 'aurora', 'avenue', 'north', 'chased', 'three']",2019-01-01 00:00:00,Q1,0
2,"['former', 'chief', 'jim', 'pugel', 'run', 'council']","['dozen', 'candidate', 'running', 'across', 'seven', 'district', 'month', 'still', 'go', 'may', 'filing', 'deadline', 'pugel', 'joined']",2019-01-01 00:00:00,Q1,3
3,"['judge', 'dismisses', 'claim', '2', 'fatal', 'charleena', 'lyles']","['lyles', 'history', 'report', 'domestic', 'dispute', 'violence', 'neither', 'anderson', 'mcnew']",2019-01-01 00:00:00,Q1,3
4,"['dna', 'create', 'video', 'get', 'killer', 'come', 'forward']","['dna', 'best', 'interest', 'u', 'immediately', 'nollette', 'head', 'criminal', 'investigation', 'bureau']",2019-01-01 00:00:00,Q1,3
5,"['lakewood', 'pay', '500', '000', 'unarmed', 'native', 'american']","['family', 'lawyer', 'gabriel', 'galanda', 'settlement', 'amount', 'email', 'seeking', 'comment', 'lakewood', 'chief', 'mike', 'zaro']",2019-01-01 00:00:00,Q1,3
6,"['report', 'kirkland', 'violate', 'policy', 'removing', 'black', 'yogurt', 'shop']","['kirkland', 'found', 'violate', 'norm', 'act', 'racial', 'bias', 'time', 'report']",2019-01-01 00:00:00,Q1,3
7,"['show', 'video', 'fatally', 'shot', 'teen', 'possessing', 'fake', 'gun']","['ap', 'suburban', 'phoenix', 'wednesday', 'played', 'body', 'camera', 'footage', 'showing', '14', 'possessed', 'fake', 'gun']",2019-01-01 00:00:00,Q1,3
8,"['convenience', 'store', 'employee', 'kelso', 'robbery']","['kelso', 'robbery', 'occurred', 'holt', 'quik', 'check', '4', '12', 'tuesday', 'suspect', 'shot', 'employee']",2019-01-01 00:00:00,Q1,6
9,"['investigate', 'ravenna', 'park']","['investigating', 'person', 'shot', 'ravenna', 'park', 'noth', 'university', 'district']",2019-01-01 00:00:00,Q1,6
10,"['lawsuit', 'shot', 'charleena', 'lyles', 'dismissed']","['video', 'show', 'lyles', 'friend', 'family', 'remembering', 'anniversary', 'death', 'lawsuit']",2019-01-01 00:00:00,Q1,3
11,"['26', 'bremerton', 'murder', 'investigation', 'culminates', 'arrest']","['bremerton', 'detective', 'worked', 'boise', 'try', 'identify', 'miller', 'suspect', 'matching', 'dna']",2019-01-01 00:00:00,Q1,0
12,"['van', 'delivering', 'amazon', 'package', 'stolen', 'recovered', 'chase']","['sunday', 'u', 'haul', 'van', 'used', 'deliver', 'amazon', 'package', 'stolen', 'leading', 'chase', 'ended', 'salem', 'oregon', 'area']",2019-01-01 00:00:00,Q1,3
13,"['release', 'graphic', 'video', 'hope', 'solving', 'homicide', 'near', 'alki', 'beach']","['pd', '22', 'jonathan', 'c', 'pecina', 'friend', 'walking', 'alki', 'trail', 'near', 'luna', 'park', 'night', 'june', '2', '2018']",2019-01-01 00:00:00,Q1,3
14,"['next', 'local', 'samoan', 'community', 'reacts', 'fatal']","['shortly', '5', 'p', 'eve', 'stopped', '36', 'iosia', 'faletogo', 'licton', 'spring', 'z', 'food', 'mart', 'parking']",2019-01-01 00:00:00,Q1,3
15,"['kirkland', 'violate', 'policy', 'asked', 'black', 'leave', 'yogurt', 'shop', 'report', 'find']","['incident', 'first', 'reported', 'time', 'column', 'sparked', 'kirkland', 'apologized', 'promised', 'internal', 'investigation']",2019-01-01 00:00:00,Q1,5
16,"['video', 'released', 'sergeant', 'sat', 'chair', 'front', 'workplace', 'seeking', 'apology']","['wednesday', 'released', 'video', 'former', 'sgt', 'frank', 'car', 'tow', 'complained', 'memo']",2019-01-01 00:00:00,Q1,0
17,"['everett', 'beachgoers', 'find', 'foot', 'day']","['boot', 'south', 'end', 'jetty', 'island', 'everett', 'saw', 'appears', 'human', 'foot', 'inside', 'boot']",2019-01-01 00:00:00,Q1,3
18,"['lane', 'reopen', 'nb', '5', 'charter', 'bus', 'fire']","['fire', 'blocked', 'lane', 'northbound', '5', 'near', 'south', 'spokane', 'street', 'starting', 'around', '2', '45', 'p', 'backup', 'extending', 'four', 'mile', 'peak']",2019-01-01 00:00:00,Q1,3
19,"['search', 'suspect', 'deadly', 'parking', 'lot']","['male', 'suspect', 'gun', 'seen', 'front', 'bartell', 'arriving', 'found', 'victim', 'shot', 'fire', 'called', 'south', 'end']",2019-01-01 00:00:00,Q1,6
20,"['driving', 'stolen', 'yellow', 'cab', 'crash', 'chase', '5', 'near', 'northgate']","['cab', 'spotted', 'near', '5', 'chase', 'ensued', 'assisting', 'keefe', 'point', 'suspect', 'drove', 'wrong']",2019-01-01 00:00:00,Q1,0
21,"['sodo', 'district', 'frustration', 'mount', 'amid', 'rv', 'drug']","['kevin', 'grossman', 'commander', 'south', 'precinct', 'business', 'owner', 'universally', 'blame', 'rv', 'dweller', 'surge', 'nocturnal', 'crime']",2019-01-01 00:00:00,Q1,3
22,"['video', 'report', 'breakthrough', 'last', 'luna']","['video', 'updating', 'case', 'direct', 'message', 'killer', 'case', 'never', 'go', 'away', 'dna']",2019-01-01 00:00:00,Q1,3
23,"['teen', 'dy', 'renton', 'walmart', 'parking', 'lot', 'sunday']","['involved', 'several', 'subject', 'altercation', 'inside', 'vehicle', 'renton', 'twitter']",2019-01-01 00:00:00,Q1,3
24,"['drive', 'suspect', 'arrested', 'west']","['arrested', 'suspected', 'drive', 'high', 'point', 'neighborhood', 'wednesday']",2019-01-01 00:00:00,Q1,2
25,"['owner', 'foundation', 'nightclub', 'arrested', 'conspiracy', 'charge']","['investigation', 'started', 'march', '2018', 'received', 'report', 'dealer', 'club', 'statement']",2019-01-01 00:00:00,Q1,5
26,"['rantz', 'cop', 'savage', 'disgrace', 'embarrassment', 'former', 'chief', 'turned', 'council', 'candidate']","['jim', 'pugel', 'disgrace', 'brave', 'men', 'proudly', 'professionally', 'serve', 'told']",2019-01-01 00:00:00,Q1,3
27,"['puyallup', 'identify', 'car', 'prowling', 'suspect']","['puyallup', 'public', 'help', 'identifying', 'car', 'prowling', 'suspect', 'individual', 'caught']",2019-01-01 00:00:00,Q1,0
28,"['march', 'take', 'downtown', 'street']","['second', 'march', 'underway', 'downtown', 'blocked', 'north', 'south', 'lane', 'broadway', 'e', 'pine', 'st']",2019-01-01 00:00:00,Q1,3
29,"['puyallup', 'id', 'armed', 'robbery', 'suspect']","['puyallup', 'public', 'help', 'identifying', 'armed', 'robbery', 'suspect', 'individual', 'committed']",2019-01-01 00:00:00,Q1,0
30,"['union', 'delayed', 'release', 'ruling', 'reinstate', 'fired', 'labor', 'contract', 'approved']","['day', 'council', 'voted', 'last', 'november', 'approve', 'arbitrator', 'representative', 'union', 'finalized']",2019-01-01 00:00:00,Q1,4
31,"['dog', 'coming', 'tacoma', 'protected', 'ballistic', 'vest']","['lot', 'bark', 'tacoma', 'k', '9', 'unit', 'search', 'dog', 'expected', 'join', 'team', 'tacoma', 'kennel', 'club']",2019-01-01 00:00:00,Q1,7
32,"['update', '4th', 'avenue', 'blocked', 'sodo', 'shot', 'bus']","['use', '4th', 'avenue', 'south', 'currently', 'closed', 'walker', 'added', 'saturday', 'evening', 'older', 'shot', 'younger']",2019-01-01 00:00:00,Q1,6
33,"['dispute', 'missing', 'evidence', 'bertha', 'breakdown', 'go', 'court']","['tunnel', 'partner', 'claim', 'bertha', 'required', '642', 'million', 'repair', 'struck', 'steel', 'pipe', 'december', '2013', 'state', 'adequately', 'disclose']",2019-01-01 00:00:00,Q1,3
34,"['kshama', 'sawant', 'file', 'election', 'council']","['2019', 'race', 'district', '3', 'seat', 'council', 'added', 'another', 'contender', 'incumbent', 'kshama', 'sawant']",2019-01-01 00:00:00,Q1,4
35,"['3', 'arrested', 'death', 'homeless', 'found', 'tied', 'tree', 'everett']","['arrested', 'three', 'people', 'thursday', 'connection', 'death', 'everett', 'news', 'release', '33', 'everett']",2019-01-01 00:00:00,Q1,2
36,"['next', 'video', 'redmond', 'scrutiny']","['bjorn', 'sarmiento', 'arrived', 'redmond', 'transit', 'center', 'north', 'jan', '16', 'friend', 'excited', 'spend', 'another', 'day', 'skateboarding']",2019-01-01 00:00:00,Q1,3
37,"['top', '10', 'read', 'article', '2018']","['young', 'jun', 'lim', 'three', 'additional', 'cop', 'seeing', 'recruiting', 'brochure']",2019-01-01 00:00:00,Q1,3
38,"['west', 'block', 'watch', 'captain', 'network', 'talk', 'safety']","['focus', 'emergency', 'preparedness', 'readiness', 'ensure', 'neighbor', 'know', 'take', 'care', 'connect', 'local', 'fire', 'medical', 'resource']",2019-01-01 00:00:00,Q1,3
39,"['remembered', 'devoted', 'father']","['june', '2017', 'kent', 'shot', 'giovonn', 'joseph', 'mcdade', '20', 'already', 'begun']",2019-01-01 00:00:00,Q1,6
40,"['24', 'south', 'victim', 'capitol', 'hill', 'deadly']","['person', 'detained', 'questioned', 'arrest', 'asked', 'anybody', 'information', 'homicide']",2019-01-01 00:00:00,Q1,3
41,"['35th', 'sw', 'phase', '2', 'update', '3', 'intersection']","['notably', 'several', 'collision', 'report', 'coded', 'enough', 'information', 'dataset', 'team', 'working']",2019-01-01 00:00:00,Q1,3
42,"['owner', 'foundation', 'nightclub', 'arrested', 'conspiracy', 'charge']","['drug', 'purchased', 'employee', 'drug', 'dealer', 'introduced', 'undercover', 'employee', 'seized', '829']",2019-01-01 00:00:00,Q1,3
43,"['dori', 'vagrant', 'return', 'northgate', 'camp', 'week', 'pricey', 'cleanup']","['photo', 'courtesy', 'layoff', 'todd', 'herman', 'todd', 'herman', 'show', 'note', '7', '9', '2021', 'interim', 'chief', 'adrian', 'diaz']",2019-01-01 00:00:00,Q1,3
44,"['project', 'street', 'camper', 'business', 'want', 'answer']","['public', 'utility', 'traffic', 'enforcement', 'showed', 'monday', 'morning', 'camp', 'growing', 'size']",2019-01-01 00:00:00,Q1,3
