index,title,description,media,date,polarity,subjectivity,quarter,cluster,cluster_detail,cluster_polarity,cluster_subjectivity,desc_polarity2,desc_subjectivity2,cluster_polarity2,cluster_subjectivity2
1,"['release', 'video', 'fatal', 'eve']","['faletogo', 'died', 'gunshot', 'wound', 'head', 'medical', 'examiner', 'office', 'force', 'investigation', 'team', 'investigating']",The Seattle Times,2019-01-01 00:00:00,0.0,0.0,Q1,5,investigation team force county conducting home group posted led family king detectives leading office night collision images tukwila lake stolen,0.0,0.0,neutral,objective,neutral,objective
2,"['release', 'body', 'cam', 'footage', 'fatal', 'aurora', 'ave', 'north']","['released', 'body', 'cam', 'footage', 'involving', 'car', 'across', 'aurora', 'avenue', 'north', 'chased', 'three']",MyNorthwest.com,2019-01-01 00:00:00,0.0,0.0,Q1,0,suspect released video car body help scene friday surveillance public camera neighborhood 911 arrested seat everett deadly later responded information,0.0,0.03333333333333333,neutral,objective,neutral,objective
3,"['former', 'chief', 'jim', 'pugel', 'run', 'council']","['dozen', 'candidate', 'running', 'across', 'seven', 'district', 'month', 'still', 'go', 'may', 'filing', 'deadline', 'pugel', 'joined']",The Seattle Times,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
4,"['judge', 'dismisses', 'claim', '2', 'fatal', 'charleena', 'lyles']","['lyles', 'history', 'report', 'domestic', 'dispute', 'violence', 'neither', 'anderson', 'mcnew']",The Seattle Times,2019-01-01 00:00:00,0.0,0.1,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
5,"['dna', 'create', 'video', 'get', 'killer', 'come', 'forward']","['dna', 'best', 'interest', 'u', 'immediately', 'nollette', 'head', 'criminal', 'investigation', 'bureau']",The Seattle Times,2019-01-01 00:00:00,0.3,0.42500000000000004,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,objective,neutral,objective
6,"['lakewood', 'pay', '500', '000', 'unarmed', 'native', 'american']","['family', 'lawyer', 'gabriel', 'galanda', 'settlement', 'amount', 'email', 'seeking', 'comment', 'lakewood', 'chief', 'mike', 'zaro']",The Seattle Times,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
7,"['report', 'kirkland', 'violate', 'policy', 'removing', 'black', 'yogurt', 'shop']","['kirkland', 'found', 'violate', 'norm', 'act', 'racial', 'bias', 'time', 'report']",KING 5,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
8,"['show', 'video', 'fatally', 'shot', 'teen', 'possessing', 'fake', 'gun']","['ap', 'suburban', 'phoenix', 'wednesday', 'played', 'body', 'camera', 'footage', 'showing', '14', 'possessed', 'fake', 'gun']",The Seattle Times,2019-01-01 00:00:00,-0.25,0.5,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,subjective,neutral,objective
9,"['convenience', 'store', 'employee', 'kelso', 'robbery']","['kelso', 'robbery', 'occurred', 'holt', 'quik', 'check', '4', '12', 'tuesday', 'suspect', 'shot', 'employee']",The Seattle Times,2019-01-01 00:00:00,0.0,0.0,Q1,6,shot says night person fired reported tuesday victim car statement shots spokesperson sunday reports north vehicle told called just oklahoma,-0.07500000000000001,0.05,neutral,objective,negative,objective
10,"['investigate', 'ravenna', 'park']","['investigating', 'person', 'shot', 'ravenna', 'park', 'noth', 'university', 'district']",KIRO-TV,2019-01-01 00:00:00,0.0,0.0,Q1,6,shot says night person fired reported tuesday victim car statement shots spokesperson sunday reports north vehicle told called just oklahoma,-0.07500000000000001,0.05,neutral,objective,negative,objective
11,"['lawsuit', 'shot', 'charleena', 'lyles', 'dismissed']","['video', 'show', 'lyles', 'friend', 'family', 'remembering', 'anniversary', 'death', 'lawsuit']",KING 5,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
12,"['26', 'bremerton', 'murder', 'investigation', 'culminates', 'arrest']","['bremerton', 'detective', 'worked', 'boise', 'try', 'identify', 'miller', 'suspect', 'matching', 'dna']",KIRO-TV,2019-01-01 00:00:00,0.0,0.0,Q1,0,suspect released video car body help scene friday surveillance public camera neighborhood 911 arrested seat everett deadly later responded information,0.0,0.03333333333333333,neutral,objective,neutral,objective
13,"['van', 'delivering', 'amazon', 'package', 'stolen', 'recovered', 'chase']","['sunday', 'u', 'haul', 'van', 'used', 'deliver', 'amazon', 'package', 'stolen', 'leading', 'chase', 'ended', 'salem', 'oregon', 'area']",MyNorthwest.com,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
14,"['release', 'graphic', 'video', 'hope', 'solving', 'homicide', 'near', 'alki', 'beach']","['pd', '22', 'jonathan', 'c', 'pecina', 'friend', 'walking', 'alki', 'trail', 'near', 'luna', 'park', 'night', 'june', '2', '2018']",Q13 FOX,2019-01-01 00:00:00,0.1,0.4,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,objective,neutral,objective
15,"['next', 'local', 'samoan', 'community', 'reacts', 'fatal']","['shortly', '5', 'p', 'eve', 'stopped', '36', 'iosia', 'faletogo', 'licton', 'spring', 'z', 'food', 'mart', 'parking']",Seattle Weekly,2019-01-01 00:00:00,0.0,0.3,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
16,"['kirkland', 'violate', 'policy', 'asked', 'black', 'leave', 'yogurt', 'shop', 'report', 'find']","['incident', 'first', 'reported', 'time', 'column', 'sparked', 'kirkland', 'apologized', 'promised', 'internal', 'investigation']",The Seattle Times,2019-01-01 00:00:00,0.125,0.16666666666666666,Q1,5,investigation team force county conducting home group posted led family king detectives leading office night collision images tukwila lake stolen,0.0,0.0,positive,objective,neutral,objective
17,"['video', 'released', 'sergeant', 'sat', 'chair', 'front', 'workplace', 'seeking', 'apology']","['wednesday', 'released', 'video', 'former', 'sgt', 'frank', 'car', 'tow', 'complained', 'memo']",The Seattle Times,2019-01-01 00:00:00,-0.15,0.1,Q1,0,suspect released video car body help scene friday surveillance public camera neighborhood 911 arrested seat everett deadly later responded information,0.0,0.03333333333333333,negative,objective,neutral,objective
18,"['everett', 'beachgoers', 'find', 'foot', 'day']","['boot', 'south', 'end', 'jetty', 'island', 'everett', 'saw', 'appears', 'human', 'foot', 'inside', 'boot']",The Seattle Times,2019-01-01 00:00:00,0.0,0.1,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
19,"['lane', 'reopen', 'nb', '5', 'charter', 'bus', 'fire']","['fire', 'blocked', 'lane', 'northbound', '5', 'near', 'south', 'spokane', 'street', 'starting', 'around', '2', '45', 'p', 'backup', 'extending', 'four', 'mile', 'peak']",MyNorthwest.com,2019-01-01 00:00:00,0.05,0.25,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,objective,neutral,objective
20,"['search', 'suspect', 'deadly', 'parking', 'lot']","['male', 'suspect', 'gun', 'seen', 'front', 'bartell', 'arriving', 'found', 'victim', 'shot', 'fire', 'called', 'south', 'end']",CHS Capitol Hill Seattle,2019-01-01 00:00:00,-0.037500000000000006,0.07500000000000001,Q1,6,shot says night person fired reported tuesday victim car statement shots spokesperson sunday reports north vehicle told called just oklahoma,-0.07500000000000001,0.05,negative,objective,negative,objective
21,"['driving', 'stolen', 'yellow', 'cab', 'crash', 'chase', '5', 'near', 'northgate']","['cab', 'spotted', 'near', '5', 'chase', 'ensued', 'assisting', 'keefe', 'point', 'suspect', 'drove', 'wrong']",The Seattle Times,2019-01-01 00:00:00,-0.2,0.65,Q1,0,suspect released video car body help scene friday surveillance public camera neighborhood 911 arrested seat everett deadly later responded information,0.0,0.03333333333333333,negative,subjective,neutral,objective
22,"['sodo', 'district', 'frustration', 'mount', 'amid', 'rv', 'drug']","['kevin', 'grossman', 'commander', 'south', 'precinct', 'business', 'owner', 'universally', 'blame', 'rv', 'dweller', 'surge', 'nocturnal', 'crime']",The Seattle Times,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
23,"['video', 'report', 'breakthrough', 'last', 'luna']","['video', 'updating', 'case', 'direct', 'message', 'killer', 'case', 'never', 'go', 'away', 'dna']",West Seattle Blog...,2019-01-01 00:00:00,0.1,0.4,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,objective,neutral,objective
24,"['teen', 'dy', 'renton', 'walmart', 'parking', 'lot', 'sunday']","['involved', 'several', 'subject', 'altercation', 'inside', 'vehicle', 'renton', 'twitter']",The Seattle Times,2019-01-01 00:00:00,-0.08333333333333333,0.16666666666666666,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,objective,neutral,objective
25,"['drive', 'suspect', 'arrested', 'west']","['arrested', 'suspected', 'drive', 'high', 'point', 'neighborhood', 'wednesday']",KIRO-TV,2019-01-01 00:00:00,0.16,0.5399999999999999,Q1,2,arrested people connection charges thursday suspected wednesday men sunday 13 booked county night death saturday used tuesday robinson park 18,0.0,0.0,positive,subjective,neutral,objective
26,"['owner', 'foundation', 'nightclub', 'arrested', 'conspiracy', 'charge']","['investigation', 'started', 'march', '2018', 'received', 'report', 'dealer', 'club', 'statement']",Seattle PI,2019-01-01 00:00:00,0.0,0.0,Q1,5,investigation team force county conducting home group posted led family king detectives leading office night collision images tukwila lake stolen,0.0,0.0,neutral,objective,neutral,objective
27,"['rantz', 'cop', 'savage', 'disgrace', 'embarrassment', 'former', 'chief', 'turned', 'council', 'candidate']","['jim', 'pugel', 'disgrace', 'brave', 'men', 'proudly', 'professionally', 'serve', 'told']",MyNorthwest.com,2019-01-01 00:00:00,0.45,0.55,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,subjective,neutral,objective
28,"['puyallup', 'identify', 'car', 'prowling', 'suspect']","['puyallup', 'public', 'help', 'identifying', 'car', 'prowling', 'suspect', 'individual', 'caught']",KIRO-TV,2019-01-01 00:00:00,0.0,0.23333333333333334,Q1,0,suspect released video car body help scene friday surveillance public camera neighborhood 911 arrested seat everett deadly later responded information,0.0,0.03333333333333333,neutral,objective,neutral,objective
29,"['march', 'take', 'downtown', 'street']","['second', 'march', 'underway', 'downtown', 'blocked', 'north', 'south', 'lane', 'broadway', 'e', 'pine', 'st']",MyNorthwest.com,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
30,"['puyallup', 'id', 'armed', 'robbery', 'suspect']","['puyallup', 'public', 'help', 'identifying', 'armed', 'robbery', 'suspect', 'individual', 'committed']",KIRO-TV,2019-01-01 00:00:00,0.0,0.23333333333333334,Q1,0,suspect released video car body help scene friday surveillance public camera neighborhood 911 arrested seat everett deadly later responded information,0.0,0.03333333333333333,neutral,objective,neutral,objective
31,"['union', 'delayed', 'release', 'ruling', 'reinstate', 'fired', 'labor', 'contract', 'approved']","['day', 'council', 'voted', 'last', 'november', 'approve', 'arbitrator', 'representative', 'union', 'finalized']",The Seattle Times,2019-01-01 00:00:00,0.0,0.06666666666666667,Q1,4,council budget members 50 defund cuts cut million voted durkan mayor defunding jenny support proposal kshama cutting sawant 2021 vote,-0.6,0.9,neutral,objective,negative,subjective
