title,media,date,desc,link,Local,newtrititle,newtridesc
"['release', 'video', 'fatal', 'new', 'year', 'eve']",The Seattle Times,2019-01-01 00:00:00,"['faletogo', 'died', 'gunshot', 'wound', 'head', 'medical', 'examiner', 'office', 'force', 'investigation', 'team', 'investigating']",https://www.seattletimes.com/seattle-news/crime/seattle-police-release-video-of-fatal-shooting-by-officer-on-new-years-eve/,0,"[('release', 'video', 'fatal'), ('video', 'fatal', 'new'), ('fatal', 'new', 'year'), ('new', 'year', 'eve')]","[('faletogo', 'died', 'gunshot'), ('died', 'gunshot', 'wound'), ('gunshot', 'wound', 'head'), ('wound', 'head', 'medical'), ('head', 'medical', 'examiner'), ('medical', 'examiner', 'office'), ('examiner', 'office', 'force'), ('office', 'force', 'investigation'), ('force', 'investigation', 'team'), ('investigation', 'team', 'investigating')]"
"['release', 'body', 'cam', 'footage', 'fatal', 'aurora', 'ave', 'north']",MyNorthwest.com,2019-01-01 00:00:00,"['released', 'body', 'cam', 'footage', 'involving', 'car', 'across', 'aurora', 'avenue', 'north', 'chased', 'three']",https://mynorthwest.com/1232749/seattle-police-body-cam-footage-aurora-ave-north/?,0,"[('release', 'body', 'cam'), ('body', 'cam', 'footage'), ('cam', 'footage', 'fatal'), ('footage', 'fatal', 'aurora'), ('fatal', 'aurora', 'ave'), ('aurora', 'ave', 'north')]","[('released', 'body', 'cam'), ('body', 'cam', 'footage'), ('cam', 'footage', 'involving'), ('footage', 'involving', 'car'), ('involving', 'car', 'across'), ('car', 'across', 'aurora'), ('across', 'aurora', 'avenue'), ('aurora', 'avenue', 'north'), ('avenue', 'north', 'chased'), ('north', 'chased', 'three')]"
"['former', 'chief', 'jim', 'pugel', 'run', 'city', 'council']",The Seattle Times,2019-01-01 00:00:00,"['two', 'dozen', 'candidate', 'running', 'across', 'seven', 'district', 'month', 'still', 'go', 'may', 'filing', 'deadline', 'pugel', 'joined']",https://www.seattletimes.com/seattle-news/politics/former-seattle-police-chief-jim-pugel-will-run-for-city-council/,0,"[('former', 'chief', 'jim'), ('chief', 'jim', 'pugel'), ('jim', 'pugel', 'run'), ('pugel', 'run', 'city'), ('run', 'city', 'council')]","[('two', 'dozen', 'candidate'), ('dozen', 'candidate', 'running'), ('candidate', 'running', 'across'), ('running', 'across', 'seven'), ('across', 'seven', 'district'), ('seven', 'district', 'month'), ('district', 'month', 'still'), ('month', 'still', 'go'), ('still', 'go', 'may'), ('go', 'may', 'filing'), ('may', 'filing', 'deadline'), ('filing', 'deadline', 'pugel'), ('deadline', 'pugel', 'joined')]"
"['judge', 'dismisses', 'claim', '2', 'fatal', 'charleena', 'lyles']",The Seattle Times,2019-01-01 00:00:00,"['lyles', 'history', 'contact', 'call', 'report', 'domestic', 'dispute', 'violence', 'neither', 'anderson', 'mcnew']",https://www.seattletimes.com/seattle-news/crime/judge-dismisses-claims-against-2-seattle-police-officers-in-fatal-shooting-of-charleena-lyles/,0,"[('judge', 'dismisses', 'claim'), ('dismisses', 'claim', '2'), ('claim', '2', 'fatal'), ('2', 'fatal', 'charleena'), ('fatal', 'charleena', 'lyles')]","[('lyles', 'history', 'contact'), ('history', 'contact', 'call'), ('contact', 'call', 'report'), ('call', 'report', 'domestic'), ('report', 'domestic', 'dispute'), ('domestic', 'dispute', 'violence'), ('dispute', 'violence', 'neither'), ('violence', 'neither', 'anderson'), ('neither', 'anderson', 'mcnew')]"
"['dna', 'create', 'video', 'get', 'killer', 'come', 'forward']",The Seattle Times,2019-01-01 00:00:00,"['dna', 'best', 'interest', 'contact', 'u', 'immediately', 'nollette', 'head', 'criminal', 'investigation', 'bureau']",https://www.seattletimes.com/seattle-news/crime/we-have-your-dna-seattle-police-create-video-to-get-killer-to-come-forward/,0,"[('dna', 'create', 'video'), ('create', 'video', 'get'), ('video', 'get', 'killer'), ('get', 'killer', 'come'), ('killer', 'come', 'forward')]","[('dna', 'best', 'interest'), ('best', 'interest', 'contact'), ('interest', 'contact', 'u'), ('contact', 'u', 'immediately'), ('u', 'immediately', 'nollette'), ('immediately', 'nollette', 'head'), ('nollette', 'head', 'criminal'), ('head', 'criminal', 'investigation'), ('criminal', 'investigation', 'bureau')]"
"['lakewood', 'pay', '500', '000', 'unarmed', 'native', 'american', 'man']",The Seattle Times,2019-01-01 00:00:00,"['family', 'lawyer', 'gabriel', 'galanda', 'settlement', 'amount', 'email', 'seeking', 'comment', 'lakewood', 'chief', 'mike', 'zaro']",https://www.seattletimes.com/seattle-news/crime/lakewood-to-pay-500000-to-family-of-phone-wielding-man-killed-by-police-in-2015/,0,"[('lakewood', 'pay', '500'), ('pay', '500', '000'), ('500', '000', 'unarmed'), ('000', 'unarmed', 'native'), ('unarmed', 'native', 'american'), ('native', 'american', 'man')]","[('family', 'lawyer', 'gabriel'), ('lawyer', 'gabriel', 'galanda'), ('gabriel', 'galanda', 'settlement'), ('galanda', 'settlement', 'amount'), ('settlement', 'amount', 'email'), ('amount', 'email', 'seeking'), ('email', 'seeking', 'comment'), ('seeking', 'comment', 'lakewood'), ('comment', 'lakewood', 'chief'), ('lakewood', 'chief', 'mike'), ('chief', 'mike', 'zaro')]"
"['report', 'kirkland', 'violate', 'policy', 'removing', 'black', 'man', 'yogurt', 'shop']",KING 5,2019-01-01 00:00:00,"['kirkland', 'found', 'violate', 'norm', 'act', 'racial', 'bias', 'time', 'report']",https://www.king5.com/article/news/report-kirkland-police-did-not-violate-policy-by-removing-black-man-from-yogurt-shop/281-61932570-07f6-49f1-b450-7623e24815df,0,"[('report', 'kirkland', 'violate'), ('kirkland', 'violate', 'policy'), ('violate', 'policy', 'removing'), ('policy', 'removing', 'black'), ('removing', 'black', 'man'), ('black', 'man', 'yogurt'), ('man', 'yogurt', 'shop')]","[('kirkland', 'found', 'violate'), ('found', 'violate', 'norm'), ('violate', 'norm', 'act'), ('norm', 'act', 'racial'), ('act', 'racial', 'bias'), ('racial', 'bias', 'time'), ('bias', 'time', 'report')]"
"['show', 'video', 'fatally', 'shot', 'teen', 'possessing', 'fake', 'gun']",The Seattle Times,2019-01-01 00:00:00,"['ap', 'suburban', 'phoenix', 'wednesday', 'played', 'new', 'body', 'camera', 'footage', 'showing', '14', 'year', 'old', 'boy', 'possessed', 'fake', 'gun']",https://www.seattletimes.com/nation-world/nation/police-show-video-of-fatally-shot-teen-possessing-fake-gun/,0,"[('show', 'video', 'fatally'), ('video', 'fatally', 'shot'), ('fatally', 'shot', 'teen'), ('shot', 'teen', 'possessing'), ('teen', 'possessing', 'fake'), ('possessing', 'fake', 'gun')]","[('ap', 'suburban', 'phoenix'), ('suburban', 'phoenix', 'wednesday'), ('phoenix', 'wednesday', 'played'), ('wednesday', 'played', 'new'), ('played', 'new', 'body'), ('new', 'body', 'camera'), ('body', 'camera', 'footage'), ('camera', 'footage', 'showing'), ('footage', 'showing', '14'), ('showing', '14', 'year'), ('14', 'year', 'old'), ('year', 'old', 'boy'), ('old', 'boy', 'possessed'), ('boy', 'possessed', 'fake'), ('possessed', 'fake', 'gun')]"
"['convenience', 'store', 'employee', 'kelso', 'robbery']",The Seattle Times,2019-01-01 00:00:00,"['according', 'kelso', 'robbery', 'occurred', 'holt', 'quik', 'check', '4', '12', 'tuesday', 'suspect', 'shot', 'employee']",https://www.seattletimes.com/seattle-news/crime/convenience-store-employee-killed-during-robbery-in-kelso/,0,"[('convenience', 'store', 'employee'), ('store', 'employee', 'kelso'), ('employee', 'kelso', 'robbery')]","[('according', 'kelso', 'robbery'), ('kelso', 'robbery', 'occurred'), ('robbery', 'occurred', 'holt'), ('occurred', 'holt', 'quik'), ('holt', 'quik', 'check'), ('quik', 'check', '4'), ('check', '4', '12'), ('4', '12', 'tuesday'), ('12', 'tuesday', 'suspect'), ('tuesday', 'suspect', 'shot'), ('suspect', 'shot', 'employee')]"
"['investigate', 'ravenna', 'park']",KIRO-TV,2019-01-01 00:00:00,"['investigating', 'person', 'shot', 'ravenna', 'park', 'noth', 'university', 'district']",https://www.kiro7.com/news/local/police-investigate-shooting-in-ravenna-park/909370321/,0,"[('investigate', 'ravenna', 'park')]","[('investigating', 'person', 'shot'), ('person', 'shot', 'ravenna'), ('shot', 'ravenna', 'park'), ('ravenna', 'park', 'noth'), ('park', 'noth', 'university'), ('noth', 'university', 'district')]"
