description,polarity,subjectivity,polarity2,subjectivity2
"[('faletogo', 'died', 'gunshot'), ('died', 'gunshot', 'wound'), ('gunshot', 'wound', 'head'), ('wound', 'head', 'medical'), ('head', 'medical', 'examiner'), ('medical', 'examiner', 'office'), ('examiner', 'office', 'force'), ('office', 'force', 'investigation'), ('force', 'investigation', 'team'), ('investigation', 'team', 'investigating')]",0.0,0.0,neutral,objective
"[('released', 'body', 'cam'), ('body', 'cam', 'footage'), ('cam', 'footage', 'involving'), ('footage', 'involving', 'car'), ('involving', 'car', 'across'), ('car', 'across', 'aurora'), ('across', 'aurora', 'avenue'), ('aurora', 'avenue', 'north'), ('avenue', 'north', 'chased'), ('north', 'chased', 'three')]",0.0,0.0,neutral,objective
"[('two', 'dozen', 'candidate'), ('dozen', 'candidate', 'running'), ('candidate', 'running', 'across'), ('running', 'across', 'seven'), ('across', 'seven', 'district'), ('seven', 'district', 'month'), ('district', 'month', 'still'), ('month', 'still', 'go'), ('still', 'go', 'may'), ('go', 'may', 'filing'), ('may', 'filing', 'deadline'), ('filing', 'deadline', 'pugel'), ('deadline', 'pugel', 'joined')]",0.0,0.0,neutral,objective
"[('lyles', 'history', 'contact'), ('history', 'contact', 'call'), ('contact', 'call', 'report'), ('call', 'report', 'domestic'), ('report', 'domestic', 'dispute'), ('domestic', 'dispute', 'violence'), ('dispute', 'violence', 'neither'), ('violence', 'neither', 'anderson'), ('neither', 'anderson', 'mcnew')]",0.0,0.10000000000000002,neutral,objective
"[('dna', 'best', 'interest'), ('best', 'interest', 'contact'), ('interest', 'contact', 'u'), ('contact', 'u', 'immediately'), ('u', 'immediately', 'nollette'), ('immediately', 'nollette', 'head'), ('nollette', 'head', 'criminal'), ('head', 'criminal', 'investigation'), ('criminal', 'investigation', 'bureau')]",0.16000000000000003,0.45,positive,objective
"[('family', 'lawyer', 'gabriel'), ('lawyer', 'gabriel', 'galanda'), ('gabriel', 'galanda', 'settlement'), ('galanda', 'settlement', 'amount'), ('settlement', 'amount', 'email'), ('amount', 'email', 'seeking'), ('email', 'seeking', 'comment'), ('seeking', 'comment', 'lakewood'), ('comment', 'lakewood', 'chief'), ('lakewood', 'chief', 'mike'), ('chief', 'mike', 'zaro')]",0.0,0.0,neutral,objective
"[('kirkland', 'found', 'violate'), ('found', 'violate', 'norm'), ('violate', 'norm', 'act'), ('norm', 'act', 'racial'), ('act', 'racial', 'bias'), ('racial', 'bias', 'time'), ('bias', 'time', 'report')]",0.0,0.0,neutral,objective
"[('ap', 'suburban', 'phoenix'), ('suburban', 'phoenix', 'wednesday'), ('phoenix', 'wednesday', 'played'), ('wednesday', 'played', 'new'), ('played', 'new', 'body'), ('new', 'body', 'camera'), ('body', 'camera', 'footage'), ('camera', 'footage', 'showing'), ('footage', 'showing', '14'), ('showing', '14', 'year'), ('14', 'year', 'old'), ('year', 'old', 'boy'), ('old', 'boy', 'possessed'), ('boy', 'possessed', 'fake'), ('possessed', 'fake', 'gun')]",-0.0290909090909091,0.39636363636363636,negative,objective
"[('according', 'kelso', 'robbery'), ('kelso', 'robbery', 'occurred'), ('robbery', 'occurred', 'holt'), ('occurred', 'holt', 'quik'), ('holt', 'quik', 'check'), ('quik', 'check', '4'), ('check', '4', '12'), ('4', '12', 'tuesday'), ('12', 'tuesday', 'suspect'), ('tuesday', 'suspect', 'shot'), ('suspect', 'shot', 'employee')]",0.0,0.0,neutral,objective
"[('investigating', 'person', 'shot'), ('person', 'shot', 'ravenna'), ('shot', 'ravenna', 'park'), ('ravenna', 'park', 'noth'), ('park', 'noth', 'university'), ('noth', 'university', 'district')]",0.0,0.0,neutral,objective
