,title,media,date,desc,link,Local,quarter,cluster
0,Seattle police release video of fatal shooting by officer on New Year’s Eve,The Seattle Times,2019-01-01 00:00:00,"Faletogo died of a gunshot wound to the head, the Medical Examiner's Office said. The Police Department's Force Investigation Team is investigating the shooting ...",https://www.seattletimes.com/seattle-news/crime/seattle-police-release-video-of-fatal-shooting-by-officer-on-new-years-eve/,0,Q1,5
1,Seattle Police release body cam footage in fatal Aurora Ave North shooting,MyNorthwest.com,2019-01-01 00:00:00,"The Seattle Police Department released the body cam footage involving a ... of his car across Aurora Avenue North, and is chased by three police officers.",https://mynorthwest.com/1232749/seattle-police-body-cam-footage-aurora-ave-north/?,0,Q1,0
2,Former Seattle police chief Jim Pugel will run for City Council,The Seattle Times,2019-01-01 00:00:00,"More than two dozen candidates are running across the seven districts, with months still to go before a May filing deadline. Pugel joined the police department ...",https://www.seattletimes.com/seattle-news/politics/former-seattle-police-chief-jim-pugel-will-run-for-city-council/,0,Q1,3
3,Judge dismisses claims against 2 Seattle police officers in fatal shooting of Charleena Lyles,The Seattle Times,2019-01-01 00:00:00,"Lyles had a history of contacts with SPD, most of those calls were reports of domestic disputes and violence. Neither Officer Anderson nor Officer McNew had ...",https://www.seattletimes.com/seattle-news/crime/judge-dismisses-claims-against-2-seattle-police-officers-in-fatal-shooting-of-charleena-lyles/,0,Q1,3
4,‘We have your DNA’: Seattle police create video to get killer to come forward,The Seattle Times,2019-01-01 00:00:00,"We have your DNA. It is in your best interest to contact us immediately,” Nollette, who heads the Seattle Police Department's Criminal Investigations Bureau, ...",https://www.seattletimes.com/seattle-news/crime/we-have-your-dna-seattle-police-create-video-to-get-killer-to-come-forward/,0,Q1,3
5,"Lakewood to pay $500,000 after police killed unarmed Native American man",The Seattle Times,2019-01-01 00:00:00,"The family's Seattle lawyer, Gabriel Galanda, said the settlement amount was ... An email seeking comment from Lakewood Police Chief Mike Zaro did not ...",https://www.seattletimes.com/seattle-news/crime/lakewood-to-pay-500000-to-family-of-phone-wielding-man-killed-by-police-in-2015/,0,Q1,3
6,Report: Kirkland police did not violate policy by removing black man from yogurt shop,KING 5,2019-01-01 00:00:00,"The Kirkland Police Department has found that its officers did not violate ... norms"" and did not act out of racial bias, The Seattle Times reports.",https://www.king5.com/article/news/report-kirkland-police-did-not-violate-policy-by-removing-black-man-from-yogurt-shop/281-61932570-07f6-49f1-b450-7623e24815df,0,Q1,3
7,Police show video of fatally shot teen possessing fake gun,The Seattle Times,2019-01-01 00:00:00,(AP) — A suburban Phoenix police department on Wednesday played new body camera footage showing that a 14-year-old boy possessed a fake gun when he was ...,https://www.seattletimes.com/nation-world/nation/police-show-video-of-fatally-shot-teen-possessing-fake-gun/,0,Q1,3
8,Convenience store employee killed in Kelso during robbery,The Seattle Times,2019-01-01 00:00:00,"According to the Kelso Police Department, the robbery occurred at Holt's Quik Check at 4:12 a.m. Tuesday. The suspect shot and killed the only employee in ...",https://www.seattletimes.com/seattle-news/crime/convenience-store-employee-killed-during-robbery-in-kelso/,0,Q1,6
9,Police investigate shooting in Ravenna Park,KIRO-TV,2019-01-01 00:00:00,SEATTLE — Officers with the Seattle Police Department are investigating after a person was shot in Ravenna Park -- just noth of the University District.,https://www.kiro7.com/news/local/police-investigate-shooting-in-ravenna-park/909370321/,0,Q1,6
10,Lawsuit against SPD officers who shot Charleena Lyles dismissed,KING 5,2019-01-01 00:00:00,The video above shows Lyles' friends and family remembering her on the one-year anniversary of her death. A lawsuit against the two Seattle police officers ...,https://www.king5.com/article/news/lawsuit-against-spd-officers-who-shot-charleena-lyles-dismissed/281-816e2e3f-fe59-45a6-951a-0848a89b025d,0,Q1,3
11,26-year Bremerton murder investigation culminates in arrest,KIRO-TV,2019-01-01 00:00:00,Bremerton detectives worked with those from the Boise Police Department to try to identify Miller as the suspect with the matching DNA.,https://www.kiro7.com/news/local/26-year-bremerton-murder-investigation-culminates-in-arrest/898658712/,0,Q1,0
12,"Van delivering Amazon packages stolen, recovered after police chase",MyNorthwest.com,2019-01-01 00:00:00,"On Sunday a U-Haul van being used to deliver Amazon packages in Seattle was stolen, leading police on a chase which ended in the Salem, Oregon area, ...",https://mynorthwest.com/1257484/amazon-packages-stolen-van/?,0,Q1,3
13,Seattle Police release graphic video in hopes of solving homicide near Alki Beach,Q13 FOX,2019-01-01 00:00:00,"According to Seattle PD, 22-year-old Jonathan C. Pecina and his friend were walking on Alki Trail near Luna Park the night of June 2, 2018, ...",https://www.q13fox.com/news/seattle-police-release-graphic-video-in-hopes-of-solving-homicide-near-alki-beach,0,Q1,3
14,Next Local Samoan Community Reacts to Fatal Police Shooting,Seattle Weekly,2019-01-01 00:00:00,"Shortly after 5 p.m. on New Year's Eve, Seattle Police Department (SPD) officers stopped 36-year-old Iosia Faletogo in Licton Springs' Z Food Mart parking ...",https://www.seattleweekly.com/news/local-samoan-community-reacts-to-fatal-police-shooting/,0,Q1,3
15,"Kirkland police did not violate department policy when they asked black man to leave yogurt shop, report finds",The Seattle Times,2019-01-01 00:00:00,The incident was first reported in a Seattle Times column and sparked ... The Kirkland Police Department apologized and promised an internal investigation.,https://www.seattletimes.com/seattle-news/eastside/kirkland-police-did-not-violate-department-policy-when-they-asked-black-man-to-leave-yogurt-shop-report-finds/,0,Q1,5
16,"Video released of Seattle police sergeant who sat in a chair in front of a man’s workplace, seeking an apology",The Seattle Times,2019-01-01 00:00:00,"Seattle police on Wednesday released video from former police Sgt. Frank ... over the car tow — complained to the Police Department, according to the memo.",https://www.seattletimes.com/seattle-news/crime/video-released-of-seattle-police-sergeant-who-sat-in-a-chair-in-front-of-a-mans-workplace-seeking-an-apology/,0,Q1,0
17,Everett beachgoers find foot on New Year’s Day,The Seattle Times,2019-01-01 00:00:00,"... a boot on the south end of Jetty Island, according to the Everett Police Department. Police saw “what appears to be a human foot inside a boot,” but the ...",https://www.seattletimes.com/seattle-news/everett-beachgoers-find-foot-on-new-years-day/,0,Q1,3
18,All lanes reopen on NB I-5 in Seattle after a charter bus fire,MyNorthwest.com,2019-01-01 00:00:00,"The fire blocked all lanes of northbound I-5 near South Spokane Street in Seattle starting around 2:45 p.m., with the backup extending four miles at its peak.",https://mynorthwest.com/1254955/lanes-nb-i-5-blocked-bus-fire/?,0,Q1,3
19,Police search for suspects after deadly shooting in parking lot ...,CHS Capitol Hill Seattle,2019-01-01 00:00:00,and a male suspect with a gun seen in front of Bartell's. Arriving officers found a victim who had been shot and Seattle Fire was called to the south end of the ...,https://www.capitolhillseattle.com/2019/01/police-search-for-suspects-after-shooting-in-parking-lot-above-broadway-and-pike/,0,Q1,6
20,Man driving stolen Yellow Cab crashes after police chase on I-5 near Northgate,The Seattle Times,2019-01-01 00:00:00,"The cab was then spotted near I-5 and a chase ensued, with the Seattle Police Department assisting, O'Keefe said. At one point, the suspect drove the wrong ...",https://www.seattletimes.com/seattle-news/stolen-car-goes-wrong-way-on-i-5-near-northgate-in-seattle/,0,Q1,0
21,"In Seattle's Sodo district, frustration mounts amid RVs, drugs ...",The Seattle Times,2019-01-01 00:00:00,"Kevin Grossman, commander of the Seattle Police Department's South Precinct. Business owners universally blame RV dwellers for a surge in nocturnal crimes ...",https://www.seattletimes.com/seattle-news/crime/rvs-drugs-and-skyrocketing-crime-push-seattles-sodo-district-from-sleepy-to-creepy/,0,Q1,3
22,VIDEO: Seattle Police report breakthrough in last year's Luna ...,West Seattle Blog...,2019-01-01 00:00:00,"In this new video updating the case, SPD has a direct message to the killer: “This case will never go away. We have your DNA.” ...",https://westseattleblog.com/2019/01/video-seattle-police-report-breakthrough-in-last-years-luna-anchor-park-area-murder/,0,Q1,3
23,Teen dies after shooting in Renton Walmart parking lot Sunday,The Seattle Times,2019-01-01 00:00:00,"The shooting “involved several subjects in [an] altercation inside a vehicle,” the Renton Police Department said on Twitter.",https://www.seattletimes.com/seattle-news/crime/1-person-shot-in-renton-walmart-parking-lot-sunday/,0,Q1,3
24,Drive-by shooting suspect arrested in West Seattle,KIRO-TV,2019-01-01 00:00:00,SEATTLE — Officers with the Seattle Police Department arrested a man suspected in a drive-by shooting in Seattle's High Point neighborhood Wednesday.,https://www.kiro7.com/news/local/drive-by-shooting-suspect-arrested-in-west-seattle/902409273/,0,Q1,2
25,Owner of Foundation Nightclub arrested on conspiracy charges,Seattle PI,2019-01-01 00:00:00,"An investigation that started in March 2018 - after police received reports ... to dealers in the club, the Seattle Police Department said in a statement.",https://www.seattlepi.com/seattlenews/article/Owner-of-Foundation-Nightclub-arrested-on-13527829.php,0,Q1,5
26,"Rantz: Seattle cops’ savage ‘disgrace,’ ’embarrassment’ in former chief turned council candidate",MyNorthwest.com,2019-01-01 00:00:00,"“Jim Pugel is a disgrace to all of the brave men and women who proudly and professionally serve as police officers in the City of Seattle,” one SPD officer told ...",https://mynorthwest.com/1257893/seattle-cops-embarrassment-pugel-council/?,0,Q1,3
27,Puyallup police: Can you identify this car prowling suspect?,KIRO-TV,2019-01-01 00:00:00,— Officers with the Puyallup Police Department are asking for the public's help in identifying a car prowling suspect. Police say the individual was caught on ...,https://www.kiro7.com/news/local/puyallup-police-can-you-identify-this-car-prowling-suspect-/902477531/,0,Q1,0
28,Two Women's Marches take over downtown Seattle streets ...,MyNorthwest.com,2019-01-01 00:00:00,The second of two Women's Marches is underway in downtown Seattle. ... Police have blocked off the North and South lanes at Broadway and E Pine St.,https://mynorthwest.com/1248159/2019-seattle-womens-marches/?,0,Q1,3
29,Puyallup police: Can you ID this armed robbery suspect?,KIRO-TV,2019-01-01 00:00:00,— Officers with the Puyallup Police Department are asking for the public's help in identifying an armed robbery suspect. Police said the individual committed an ...,https://www.kiro7.com/news/local/puyallup-police-can-you-id-this-armed-robbery-suspect-/908850520/,0,Q1,0
30,"Seattle, police union delayed release of ruling to reinstate fired officer until after labor contract was approved",The Seattle Times,2019-01-01 00:00:00,Days before the Seattle City Council voted last November to approve a ... arbitrator and representatives of the Police Department and union to be finalized.,https://www.seattletimes.com/seattle-news/city-police-union-delayed-release-of-ruling-to-reinstate-fired-officer-until-after-approval-of-contentious-new-police-contract/,0,Q1,4
31,"New police dogs are coming to Tacoma, and they'll be protected by ballistic vests",KIRO-TV,2019-01-01 00:00:00,"— There's lots to bark about in the Tacoma Police Department's K-9 unit. Two new search dogs are expected to join the team this year, and the Tacoma Kennel Club ...",https://www.kiro7.com/news/south-sound-news/new-police-dogs-are-coming-to-tacoma-and-theyll-be-protected-by-ballistic-vests/907749556/,0,Q1,7
32,UPDATE: 4th Avenue S. blocked in SODO after man shot on bus,West Seattle Blog...,2019-01-01 00:00:00,"... do NOT use 4th Avenue South – police have currently closed it at Walker ... ADDED SATURDAY EVENING: According to SPD, the older man shot the younger man ...",https://westseattleblog.com/2019/01/traffic-alert-4th-avenue-s-blocked-in-sodo/,0,Q1,6
33,Dispute over missing evidence in Bertha breakdown goes to court,MyNorthwest.com,2019-01-01 00:00:00,Seattle Tunnel Partners claims Bertha required $642 million in repairs because it struck a steel pipe in December 2013 the state did not adequately disclose ...,https://mynorthwest.com/1238071/bertha-missing-evidence-court-dispute/,0,Q1,3
34,Kshama Sawant files for re-election to Seattle City Council,MyNorthwest.com,2019-01-01 00:00:00,The 2019 race for Seattle's District 3 seat on the City Council has added another contender — incumbent Kshama Sawant.,https://mynorthwest.com/1244947/kshama-sawant-files-re-election-2019/,0,Q1,4
35,3 arrested in death of homeless man found tied to tree in Everett,The Seattle Times,2019-01-01 00:00:00,"Police arrested three people Thursday in connection with the death, the Everett Police Department said in a news release. A 33-year-old Everett woman and a man ...",https://www.seattletimes.com/seattle-news/crime/three-arrested-in-everett-homicide-investigation/,0,Q1,2
36,Next Video Has Redmond Police Under Scrutiny,Seattle Weekly,2019-01-01 00:00:00,"When Bjorn Sarmiento arrived at the Redmond Transit Center from north Seattle on Jan. 16, friends say he was excited to spend another day of skateboarding ...",https://www.seattleweekly.com/news/video-has-redmond-police-under-scrutiny/,0,Q1,3
37,Top 10 most read articles of 2018,Northwest Asian Weekly,2019-01-01 00:00:00,Seattle Police Officer Young Jun Lim is one of three additional officers ... to be a cop after seeing a Seattle Police Department recruiting brochure.,https://nwasianweekly.com/2019/01/top-10-most-read-articles-of-2018/,0,Q1,3
38,West Seattle Block Watch Captains Network talks safety ...,West Seattle Blog...,2019-01-01 00:00:00,"Focus on emergency preparedness and readiness, to ensure neighbors know how to take care of each other and connect with local fire, police and medical resources ...",https://westseattleblog.com/2019/01/west-seattle-block-watch-captains-network-talks-safety-community-911-more/,0,Q1,3
39,Man killed by Seattle police remembered as a devoted father,Real Change,2019-01-01 00:00:00,"In June 2017, a Kent police officer shot and killed Giovonn Joseph-McDade, 20, ... into the shooting, which the Seattle Police Department has already begun.",https://www.realchangenews.org/news/2019/01/09/man-killed-seattle-police-remembered-devoted-father,0,Q1,6
40,24-year-old South Seattle man victim in Capitol Hill deadly ...,CHS Capitol Hill Seattle,2019-01-01 00:00:00,Police say one person was detained and questioned but say there have been no arrests. SPD has asked anybody with information to call the homicide tip line ...,https://www.capitolhillseattle.com/2019/01/24-year-old-south-seattle-man-victim-in-capitol-hill-deadly-shooting/,0,Q1,3
41,"35TH SW, PHASE 2: Updates on 3 intersections",West Seattle Blog...,2019-01-01 00:00:00,"Notably, there were several collision reports coded “Not Enough Information” in the dataset. The team is working with the Seattle Police Department (SPD) to ...",https://westseattleblog.com/2019/01/35th-sw-phase-2-updates-on-3-intersections/,0,Q1,3
42,Owner of Seattle's Foundation Nightclub arrested on conspiracy charges,KOMO,2019-01-01 00:00:00,All drugs were purchased from employees or drug dealers introduced to undercover police by employees. Officers with the Seattle Police Department seized 829 ...,https://komonews.com/news/local/owner-of-foundation-nightclub-arrested-on-conspiracy-charges,0,Q1,3
43,Dori: Vagrants return to Northgate camp a week after pricey cleanup,MyNorthwest.com,2019-01-01 00:00:00,"(Photo courtesy of Seattle Police Department, SPD layoffs Todd Herman Todd Herman Show Notes: 7.9.2021 · Seattle Interim Police Chief Adrian Diaz, SPD ...",https://mynorthwest.com/1245584/dori-vagrants-northgate-camp/,0,Q1,3
44,"Project Seattle: Street campers, businesses want answers from city",KOMO,2019-01-01 00:00:00,Seattle Public Utilities and Traffic Enforcement officers from the Seattle Police department showed up Monday morning at camp that has been growing in size ...,https://komonews.com/news/project-seattle/project-seattle-street-campers-businesses-want-answers-from-city,0,Q1,3
45,Report: Two coyotes in Ballard got drunk on craft beer,Seattle PI,2019-01-01 00:00:00,This analysis is drawn from Seattle Police Department incident reports filed since 2008. Police responses were cataloged by “beat”– 17 geographic designations ...,https://www.seattlepi.com/seattlenews/article/Coyote-beer-drunk-animal-Seattle-My-Ballard-13555595.php,0,Q1,3
46,Cold: ‘Operation Tsunami’ designed to provoke suspects in Susan Powell case,MyNorthwest.com,2019-01-01 00:00:00,"WEST VALLEY CITY — Police investigating the 2009 disappearance of Susan Cox Powell had exhausted nearly all conventional tactics, with no success.",https://mynorthwest.com/1252484/cold-operation-tsunami-designed-to-provoke-suspects-in-susan-powell-case/?,0,Q1,3
47,Berlin police seize 3 Hitler paintings as possible fakes,The Seattle Times,2019-01-01 00:00:00,Spokesman Martin Halweg said Friday the paintings were seized from an auction house in the German capital after the Berlin police department received a ...,https://www.seattletimes.com/entertainment/berlin-police-seize-3-hitler-paintings-as-possible-fakes/,0,Q1,3
48,Second trial begins for brothers accused of fatal Jungle shootings in 2016,The Seattle Times,2019-01-01 00:00:00,"He was also paid $700 by the Seattle Police Department in exchange for his help, Norman said. Norman, who criticized the Seattle police investigation as ...",https://www.seattletimes.com/seattle-news/crime/second-trial-begins-for-brothers-accused-of-fatal-jungle-shootings-in-2016/,0,Q1,5
49,Urban Indigenous Communities Push for Action to Address ...,Seattle Weekly,2019-01-01 00:00:00,"She contacted the police when her mother remained missing a few days later, ... 21 at Seattle's Daybreak Star Indian Cultural Center, the WSP and the ...",https://www.seattleweekly.com/news/urban-indigenous-communities-push-for-action-to-address-violence-against-women/,0,Q1,3
50,Police arrest two teens suspected of stealing guns from Lynnwood gun store,KIRO-TV,2019-01-01 00:00:00,Lynwood police received support from officers with the Edmonds and Everett police department's in their search for the suspects. Cox Media Group.,https://www.kiro7.com/news/local/police-arrest-two-teens-suspected-of-stealing-guns-from-lynnwood-gun-store/900703804/,0,Q1,3
51,‘We're just broken': Grandfather wants answers after teen shot to death in Walmart parking lot,KIRO-TV,2019-01-01 00:00:00,The Renton Police Department told KIRO 7 Monday there had been no arrests and that additional details would not be released yet to avoid jeopardizing the ...,https://www.kiro7.com/news/local/were-just-broken-grandfather-wants-answers-after-teen-shot-to-death-in-walmart-parking-lot/908136033/,0,Q1,3
52,Blaine teacher accused of kicking student who acted out,KIRO-TV,2019-01-01 00:00:00,"A teacher was arrested for kicking a 7-year-old student with disabilities who was acting out in class, according to the Blaine Police Department.",https://www.kiro7.com/news/local/blaine-teacher-accused-of-kicking-student-who-acted-out/912809679/,0,Q1,2
53,Ocean Shores police free seal trapped in fishing net,KING 5,2019-01-01 00:00:00,"After working for the Ocean Shores Police Department for 14 years, Sgt. Kyle Watson has responded to all kinds of calls for help.",https://www.king5.com/article/news/local/ocean-shores-pd-officers-free-seal-from-netting/281-6aea5e6b-d93e-4b8c-8059-a784c3016e62,0,Q1,3
